Feature,Free Tier,Premium Tier ($19.99/month),Pro Tier ($39.99/month)
AI Goal Generation,Limited (3 goals),Unlimited,Unlimited + Custom AI
Basic Milestones,Basic only,Advanced with timelines,Advanced + Adaptive
Course Recommendations,Limited selection,Full access,Full + Industry-specific
Progress Tracking,Basic charts,Detailed analytics,Advanced + Predictive
Mentor Matching,No,Yes,Yes + Preferences
Direct Mentor Communication,No,Yes,Yes + Video calls
Advanced Analytics,No,Basic reports,Advanced dashboards
Custom Goal Templates,No,5 templates,Unlimited templates
Priority Support,Community only,Email support,Priority support
Unlimited Goals,No (3 max),Yes,Yes
